,Name
293, Aliah University
294, Alice Lloyd College
295, Alice Salomon Hochschule Berlin
296, Aligarh Muslim University
297, Al-Imam Muhammad Ibn Saud Islamic University
298, Al-Jafra University
299, Aljazeera University
300, Al-Karkh University of Science
301, All Hallows College
302, All India Institute of Medical Sciences Bhopal
303, All India Institute of Medical Sciences Bhubaneswar
304, All India Institute of Medical Sciences Delhi
305, All India Institute of Medical Sciences Jodhpur
306, All India Institute of Medical Sciences Patna
307, All India Institute of Medical Sciences Raipur
308, All India Institute of Medical Sciences Rishikesh
309, All Nations University College
310, All Saints University
311, Allahabad State University
312, Allameh Institute of Higher Education
313, Allameh Mohaddes Nouri University
314, Allameh Tabataba'i University
315, Allegheny College
316, Allen College
317, Allen University
318, Allensbach Hochschule Konstanz
319, Alliance University
320, Alliant International University
321, Alma College
322, Alma Mater Europaea
323, Al-Madinah International University
324, Almaty Academy of Economics and Statistics
325, Almaty Management University
326, Almaty Technological University
327, Almaty University
328, Almaty University of Power Engineering and Telecommunications
329, AlMughtaribeen University
330, Al-Nasser University
331, Alpen-Adria-Universität Klagenfurt
332," Al-Qalam University, Katsina"
333, Al-Qasim Green University
334, Al-Quds University
335, Al-Rafaq National University
336, Al-Rayan University
337, Al-Razi University
338, Al-Saeeda University
339, Alsalam University
340, Al-Shahbaa University
341, Al-Sham Private University
342, Al-Tahadi National Medical University
343, Altai State Academy of Education
344, Altai State Medical University
345, Altai State Pedagogical Academy
346, Altai State University
347, Altai State University of Agriculture
348, Al-taqwa Institute of Higher Education
349, Altinbas Üniversitesi
350, Alvernia University
351, Alverno College
352, Al-Wataniya Private University
353, Alytaus kolegija
354, Al-Zahra College for Women
355, Alzahra University
356, Al-Zaytoonah University of Jordan
357, AMA Computer University
358, AMA International University Bahrain
359, Amasya Üniversitesi
360, Ambassador International University
361, Ambedkar University Delhi
362, Amberton University
363, Ambo University
364, Ambrose Alli University
365, Ambrose University
366, AMD Akademie Mode and Design
367, American Baptist College
368, American College
369, American College of Dubai
370, American Film Institute Conservatory
371, American International College
372, American International School of Medicine
373, American International University West Africa
374, American International University-Bangladesh
375, American Jewish University
376, American University
377, American University in Bulgaria
378, American University in Dubai
379, American University in North Africa
380, American University in the Emirates
381, American University of Antigua
382, American University of Armenia
383, American University of Barbados
384, American University of Beirut
385, American University of Central Asia
386, American University of Culture and Education
387, American University of Integrative Sciences
388, American University of Kuwait
389, American University of Madaba
390, American University of Malta
391, American University of Nigeria
392, American University of Phnom Penh
393, American University of Puerto Rico
394, American University of Ras Al Khaimah
395, American University of Science and Technology
396, American University of Sharjah
397, American University of Technology
398, American University of the Caribbean
399, American University of the Caribbean - School of Medicine
400, Americki Univerzitet u Bosni i Hercegovini
401, Amherst College
402, Amirkabir University of Technology
403, Amity University
404, Amity University Dubai
405, Amman Arab University
406, Ammon Applied University College
407, Amran University
408, Amref International University
409, Amrita Vishwa Vidyapeetham
410, Amsterdamse Hogeschool voor de Kunsten
411, Amur State Medical Academy
412, Amur State University
413, Amur State University of Humanities and Pedagogy
414, Anadolu Üniversitesi
415, Anand Agricultural University
416, Anania Shirakatsi University of International Relations
417, Anant National University
418," Anchor University, Lagos"
419, Anderson University
420," Anderson University, Indiana"
421, Andhra University
422, Andijon Davlat Tibbiyot Instituti
423, Andijon Davlat Universiteti
424, Andijon Mashinasozlik Instituti
425, Andijon Qishloq Xo'jalik Instituti
426, Andong National University
427, Andrássy Universität Budapest
428, Andrews University
429, Angarsk State Technical University
430, Angel Kanchev University of Ruse
431, Angeles University Foundation
432, Angelo State University
433, Angkor Khemara University
434, Angkor University
435, Anglia Ruskin University
436, Anglican University College of Technology
437, Anglo-americká vysoká škola
438, Anhui Agricultural University
439, Anhui Institute of Information Technology
440, Anhui International Studies University
441, Anhui Jianzhu University
442, Anhui Medical University
443, Anhui Normal University
444, Anhui Polytechnic University
445, Anhui Sanlian University
446, Anhui Science and Technology University
447, Anhui University
448, Anhui University of Chinese Medicine
449, Anhui University of Finance and Economics
450, Anhui University of Science and Technology
451, Anhui University of Technology
452, Anhui Wonder University of Information Engineering
453, Anhui Xinhua University
454, Anka Teknoloji Üniversitesi
455, Ankang University
456, Ankara Sosyal Bilimler Üniversitesi
457, Ankara Üniversitesi
458, Ankara Yildirim Beyazit Üniversitesi
459, Ankole Western University
460, Anna Maria College
461, Anna University
462, An-Najah National University
463, Annamalai University
464, Anqing Normal University
465, Ansal University
466, Anshan Normal University
467, Anshun University
468, Antalya Akev Üniversitesi
469, Antalya Bilim Üniversitesi
470, Antioch University
471, Antioch University Los Angeles
472, Antioch University New England
473, Antioch University Santa Barbara
474, Antioch University Seattle
475, Anton Bruckner Privatuniversität
476, Anton de Kom Universiteit van Suriname
477, Antwerp Management School
478, Anwer Khan Modern University
479, Anyang Institute of Technology
480, Anyang Normal University
481, Anyang University
482, Anyang University
483, Aomori Chuo Gakuin University
484, Aomori Public University
485, Aomori University
486, Aomori University of Health and Welfare
487, Aoyama Gakuin University
488, AP Hogeschool Antwerpen
489, Apeejay Stya University
490, Apex Professional University
491, Apex University
492, APJ Abdul Kalam Technological University
493, Appalachian Bible College
494, Appalachian College of Pharmacy
495, Appalachian State University
496, Applied Science Private University
497, Applied Science University
498, Aqaba University of Technology
499, Aquinas College
500," Aquinas College, Tennessee"
501, Aquinas University of Legazpi
502," Arab Academy for Science, Technology and Maritime Transport"
503, Arab American University
504, Arab College of Applied Sciences
505, Arab International University
506, Arab Open University Lebanon
507, Arab University for Science and Technology
508, Arab University of Science and Technology
509, Arabian Gulf University
510, Arak University
511, Arak University of Medical Sciences
512, Arak University of Technology
513, Arba Minch University
514, Arcadia University
515, Architectural Institute in Prague
516, Ardabil University of Medical Sciences
517, Ardahan Üniversitesi
518, Ardakan University
519, Ardhi University
520, Arellano University
521, Aria University
522, Ariana Institute of Higher Education
523, Ariel University
524, Arish University
525, Aristotle University of Thessaloniki
526, Arizona Christian University
527, Arizona State University
528, Arka Jain University
529, Arkalyk State Pedagogical Institute
530, Arkansas Baptist College
531, Arkansas State University
532, Arkansas Tech University
533, Arkin Yaratici Sanatlar ve Tasarim Üniversitesi
534, Arkitektskolen Aarhus
535, Arkitektur- og designhøgskolen i Oslo
536, Arlington Baptist University
537, Armavir State Pedagogical University
538, Armenian Medical Institute
539, Armenian National Agrarian University
540, Armenian State Institute of Physical Culture
541, Armenian State Pedagogical University
542, Armenian State University of Economics
543, Arni University
544, Arrupe Jesuit University
545, Art Academy of Cincinnati
546, Art and Design Institut
547, Art University of Isfahan
548, ArtCenter College of Design
549, Arte A.C.
550, ARTE Music Academy
551, Arteveldehogeschool
552, ArtEZ Hogeschool voor de kunsten
553, ArtHouse - Šola za risanje in slikanje
554, Arthur Jarvis University
555, Arts et Métiers ParisTech
556, Arts University Bournemouth
557," Arts, Sciences and Technology University in Lebanon"
558, Arts² - École supérieure des Arts
559, Artsakh State University
560, Artvin Çoruh Üniversitesi
561, Arunachal University of Studies
562, Arunodaya University
563, Aryabhatta Knowledge University
564, ASA University Bangladesh
565, Asahi University
566, Asahikawa Medical University
567, Asahikawa University
568, Asbury University
569, Ashesi University
570, Ashikaga Institute of Technology
571, Ashiya University
572, Ashland University
573, Ashna Institute of Higher Education
574, Ashoka University
575, Asia e University
576, Asia Euro University
577, Asia Pacific College
578, Asia University
579," Asia University, Taiwan"
580, Asian Institute of Journalism and Communication
581, Asian Institute of Management
582, Asian Institute of Maritime Studies
583, Asian Institute of Technology
584, Asian Medical Institute
585, Asian Social Institute
586, Asian University for Women
587, Asian University of Bangladesh
588, Asia-Pacific International University
589, Asmara College of Health Sciences
590, Asmarya University for Islamic Sciences
591, Assam Agricultural University
592, Assam Don Bosco University
593, Assam Down Town University
594, Assam Rajiv Gandhi University of Cooperative Management
595, Assam Science and Technology University
596, Assam University
597, Assam Women's University
598, Assiut University
599, Assosa University
600, Assumption College
601, Assumption College San Lorenzo
602, Assumption University
603, Astana Medical University
604, Astana University
605, Aston University
606, Astrakhan State Conservatory
607, Astrakhan State Medical Academy
608, Astrakhan State Technical University
609, Astrakhan State University
610, Aswan University
611, Atal Bihari Vajpayee Hindi Vishwavidyalaya
612, Atal Bihari Vajpayee Vishwavidyalaya
613, Atatürk Üniversitesi
614, Ateneo de Davao University
615, Ateneo de Manila University
616, Ateneo de Naga University
617, Ateneo de Zamboanga University
618, Athens School of Fine Arts
619, Athens State University
620, Athens University of Economics and Business
621, Athlone Institute of Technology
622, Atiba University
623, Atilim Üniversitesi
624, Atish Dipankar University of Science and Technology
625, Atlanta Metropolitan State College
626, Atlantis College
627, Atmiya University
628, Atomi University
629, Atyrau Institute of Engineering and Humanities
630, Atyrau State University
631, Atyrau University of Oil and Gas
632, Auburn University
633, Auburn University at Montgomery
634, Auckland University of Technology
635, Audencia Business School
636, Augsburg University
637, Augusta University
638, Augustana College
639, Augustana University
640, Augustana-Hochschule
641, Augustine University
642, Aureus University School of Medicine
643, AURO University
644, Aurora College
645, Aurora State College of Technology
646, Aurora University
647, Austin College
648, Austin Peay State University
649, Australian Catholic University
650, Australian College of Kuwait
651, Australian National University
652, Avance International University
653, AVANS Hogeschool
654, Avantika University
655, Avarga Institute
656, Ave Maria University
657, Averett University
658, Avicenna University
659, Avignon Université
660, Avila University
661, Avinashilingam University
662, Avrasya Üniversitesi
663, Awadhesh Pratap Singh University
664, Ayatollah Borujerdi University
665, Aydin Adnan Menderes Üniversitesi
666, Ayush and Health Sciences University of Chhattisgarh
667, Azabu University
668, Azal University of Human Development
669, Azal University of Science and Technology
670, Azarbaijan Shahid Madani University
671, Azerbaycan Diller Universiteti
672, Azerbaycan Dövlet Aqrar Universiteti
673, Azerbaycan Dövlet Beden Terbiyesi ve Idman Akademiyasi
674, Azerbaycan Dövlet Deniz Akademiyasi
675, Azerbaycan Dövlet Iqtisad Universiteti
676, Azerbaycan Dövlet Medeniyyet ve Incesenet Universiteti
677, Azerbaycan Dövlet Neft ve Senaye Universiteti
678, Azerbaycan Dövlet Pedaqoji Universiteti
679, Azerbaycan Dövlet Ressamliq Akademiyasi
680, Azerbaycan Emek ve Sosial Münasibetler Akademiyasi
681, Azerbaycan Kooperasiya Universiteti
682, Azerbaycan Memarliq ve Insaat Universiteti
683, Azerbaycan Milli Konservatoriyasi
684, Azerbaycan Texniki Universiteti
685, Azerbaycan Texnologiya Universiteti
686, Azerbaycan Tibb Universiteti
687, Azerbaycan Turizm ve Menecment Universiteti
688, Azerbaycan Universiteti
689, Azhar Higher Education Institute
690, Azim Premji University
691, Azusa Pacific University
692, Azzaytuna University
693, B.S. Abdur Rahman Crescent Institute of Science and Technology
694, B2 Visoka šola za poslovne vede
695, BA ISAGO University
696, Baba Farid University of Health Sciences
697, Baba Ghulam Shah Badhshah University
698, Baba Mastnath University
699, Babasaheb Bhimrao Ambedkar Bihar University
700, Babasaheb Bhimrao Ambedkar University
701, Babcock University
702, Babol Noshirvani University of Technology
703, Babol University of Medical Sciences
704, Babson College
705, Babu Banarasi Das University
706, Bac Lieu University
707, Bacha Khan University
708, Bacone College
709, Badakhshan University
710, Baddi University of Emerging Sciences and Technologies
711, Badr University in Cairo
712, Baekseok University
713, Baghlan University
714, Bago University
715, Bahauddin Zakariya University
716, Bahçesehir Kibris Üniversitesi
717, Bahçesehir Üniversitesi
718, Bahir Dar University
719, BAHRA University
720, Bahrain Institute for Banking and Finance
721, Bahria University
722, Baicheng Normal University
723, Baika Women's University
724, Baikal State University
725, Baiko Gakuin University
726, Baise University
727, Baker College
728, Baker University
729, Bakhtar University
730, Baki Ali Neft Mektebi
731, Baki Avrasiya Universiteti
732, Baki Biznes Universiteti
733, Baki Dövlet Universiteti
734, Baki Islam Universiteti
735, Baki Muhendislik Universiteti
736, Baki Musiqi Akademiyasi
737, Baki Qizlar Universiteti
738, Baki Slavyan Universiteti
739, Bakirçay Üniversitesi
740, Baldwin Wallace University
741, Balikesir Üniversitesi
742, Baliuag University
743, Balkh University
744, Ball State University
745, Balochistan University of Engineering and Technology
746," Balochistan University of Information Technology, Engineering and Management Sciences"
747," Baltic State Technical University ""Voenmeh"""
748, Baltijas Starptautiska akademija
749, Bam University
750, Bamenda University of Science and Technology
751, Bamiyan University
752, Banaras Hindu University
753, Banasthali Vidyapith
754, Banda University of Agriculture and Technology
755, Bandarban University
756, Bandirma Onyedi Eylül Üniversitesi
757, Bangabandhu Sheikh Mujib Medical University
758, Bangabandhu Sheikh Mujibur Rahman Agricultural University
759, Bangabandhu Sheikh Mujibur Rahman Maritime University
760, Bangabandhu Sheikh Mujibur Rahman Science and Technology University
761, Bangalore University
762, Bangamata Sheikh Fojilatunnesa Mujib Science and Technology University
763, Bangkok Suvarnabhumi University
764, Bangkok Thonburi University
765, Bangkok University
766, Bangladesh Agricultural University
767, Bangladesh Islami University
768, Bangladesh University
769, Bangladesh University of Business and Technology
770, Bangladesh University of Engineering and Technology
771, Bangladesh University of Health Sciences 
772, Bangladesh University of Professionals
773, Bangladesh University of Textiles
774, Bangor University
775, Bani Walid University
776, Banja Luka College
777, Bank of Georgia University
778, Bank Street College of Education
779, Banking University
780, Bank-moliya Akademiyasi
781, Banku augstskola
782, Bankura University
783, Bansomdejchaopraya Rajabhat University
784, Baoding University
785, Baoji University of Arts and Sciences
786, Baoshan University
787, Baptist Bible College
788, Baptist Health Sciences University
789, Baptist University of the Americas
790, Baqai Medical University
791, Baqir al-olum University
792, Baqiyatallah Medical Sciences University
793, Baranovichi State University
794, Barclay College
795, Bard College
796, Bard College at Simon's Rock
797, Bard College Berlin
798, Bareilly International University
799, Baria Vungtau University
800, Bar-Ilan University
801, Barkatullah University
802, Barna Business School
803, Barnard College
804, Barret Hodgson University
805, Barry University
806, Bartin Üniversitesi
807, Barton College
808," Baruch College, CUNY"
809, Bashkir State Agricultural University
810, Bashkir State Medical University
811, Bashkir State University
812, Baskent Üniversitesi
813, Basra University of Oil an Gas
814, Bastar Vishwavidyalaya
815, Bastyr University
816, Bataan Peninsula State University
817, Batangas State University
818, Bates College
819, Bath Spa University
820, Batken State University
821, Batman Üniversitesi
822, Batumi Art Teaching University
823, Batumi Navigation Teaching University
824, Batumi Shota Rustaveli State University
825, Batumi State Maritime Academy
826," BAU International University, Batumi"
827, Bauchi State University
828, Bauhaus-Universität Weimar
829, Bauman Moscow State Technical University
830, Bay Path University
831, Bay State College
832, Bayan College
833, Bayan University
834, Bayburt Üniversitesi
835, Bayero University Kano
836, Baylor College of Medicine
837, Baylor University
838, Baze University
839, BBS School of Management
840, bbw Hochschule
841, Beacon College
842, Beaconhouse National University
843, Becker College
844, Beckmans Designhögskola
845, Begum Gulchemonara Trust University
846, Begum Rokeya University
847, Behbahan Khatam Alanbia University of Technology
848, Beibu Gulf University
849, Beihai College of Art and Design
850, Beihang University
851, Beihua University
852, Beijing City University
853, Beijing Dance Academy
854, Beijing Electronic Science and Technology Institute
855, Beijing Film Academy
856, Beijing Foreign Studies University
857, Beijing Forestry University
858, Beijing Geely University
859, Beijing Information Science and Technology University
860, Beijing Institute of Fashion Technology
861, Beijing Institute of Graphic Communication
862, Beijing Institute of Petrochemical Technology
863, Beijing Institute of Technology
864, Beijing International Studies University
865, Beijing Jiaotong University
866, Beijing Language and Culture University
867, Beijing Normal University
868, Beijing Sport University
869, Beijing Technology and Business University
870, Beijing Union University
871, Beijing University of Agriculture
872, Beijing University of Chemical Technology
873, Beijing University of Chinese Medicine
874, Beijing University of Civil Engineering and Architecture
875, Beijing University of Posts and Telecommunications
876, Beijing University of Technology
877, Beijing Wuzi University
878, Beirut Arab University
879, Beirut Islamic University
880, Belarusian National Technical University
881, Belarusian State Academy of Arts
882, Belarusian State Academy of Aviation
883, Belarusian State Academy of Communications
884, Belarusian State Academy of Music
885, Belarusian State Agrarian Technical University
886, Belarusian State Agricultural Academy
887, Belarusian State Economic University
888, Belarusian State Medical University
889, Belarusian State Pedagogical University
890, Belarusian State Technological University
891, Belarusian State University
892, Belarusian State University of Culture and Arts
893, Belarusian State University of Informatics and Radioelectronics
894, Belarusian State University of Physical Culture
895, Belarusian State University of Transport
896, Belarusian Trade and Economics University of Consumer Cooperatives
897, Belarusian-Russian University
898, Belgorod State Agricultural University
899, Belgorod State Technological University
900, Belgorod State University
901, Belhaven University
902, Bellarmine University
903, Bellevue College
904, Bellevue University
905, Bellin College
906, Bells University of Technology
907, Belmont Abbey College
908, Belmont University
909, Beloit College
910, Beltei International University
911, Bemidji State University
912, Benawa Institute of Higher Education
913, Benazir Bhutto Shaheed University Lyari
914, Benazir Bhutto Shaheed University of Technology and Skill Development
915, Benedict College
916, Benedictine College
917, Benedictine University
918, Benemerita Universidad Autonoma de Puebla
919, Bengaluru North University
920, Bengbu Medical College
921, Bengbu University
922, Benguet State University
923, Ben-Gurion University of the Negev
924, Benha University
925, Beni-Suef University
926, Benjamin Franklin Institute of Technology
927, Bennett College
928, Bennett University
929, Bennington College
930, Benson Idahosa University
931, Bentley University
932, Benue State University
933, Beppu University
934, Berdyansk State Pedagogical University
935, Berdyansk University of Management and Business
936, Berea College
937, Bergische Universität Wuppertal
938, Berhampur University
939, Berkeley College
940, Berklee College of Music
941, Bermuda College
942, Berner Fachhochschule
943, Berry College
944, Bertha von Suttner Privatuniversität
945, Bethany College
946," Bethany College, Kansas"
947, Bethany Lutheran College
948, Bethel College
949, Bethel University
950, Bethel University
951," Bethel University, Tennessee"
952," Bethel University, Zambia"
953, Bethesda University
954, Bethlehem University
955, Bethune-Cookman University
956, Beulah Heights University
957, Beuth Hochschule für Technik Berlin
958, Beykent Üniversitesi
959, Beykoz Üniversitesi
960, Bezalel Academy of Arts and Design
961, Bezmiâlem Vakif Üniversitesi
962, BGMEA University of Fashion and Technology
963, Bhagat Phool Singh Mahila Vishwavidyalaya
964, Bhagwant University
965, Bhakta Kavi Narsinh Mehta University
966, Bhamo University
967, Bharath Institute of Higher Education and Research
968, Bharathiar University
969, Bharathidasan University
970, Bharati Vidyapeeth Deemed University
971, Bhartiya Skill Development University
972, Bhatkhande Music Institute
973, Bhiksu University of Sri Lanka
974, Bhupal Nobles University
975, Bhupendra Narayan Mandal University
976, Bicol University
977, Bidhan Chandra Krishi Vishwavidyalaya
978, Bielska Wyzsza Szkola im. Józefa Tyszkiewicza
979, Bihar Agricultural University
980, Biju Patnaik University of Technology
981, Bila Tserkva National Agrarian University
982, Bilad Al Sham University
983, Bilecik Seyh Edebali Üniversitesi
984, Biliran Province State University
985, Bilkent Üniversitesi
986, Bindura University of Science Education
987, Bingham University
988," Binghamton University, State University of New York"
989, Bingöl Üniversitesi
990, Binod Bihari Mahto Koyalanchal University
991, Binzhou Medical University
992, Binzhou University
993, Biola University
994, BIP - Institute of Law
995, Birjand University of Medical Sciences
